player_name,market,line,odds_over,odds_under,game_date,team_abbr,opp_abbr,book
1630228,REB,,,,2025-12-13,GSW,,
1630228,AST,,,,2025-12-13,GSW,,
1630228,FG3M,,,,2025-12-13,GSW,,
1630228,PRA,,,,2025-12-13,GSW,,
1630230,PTS,,,,2025-12-13,DAL,,
1630230,REB,,,,2025-12-13,DAL,,
1630230,AST,,,,2025-12-13,DAL,,
1630230,FG3M,,,,2025-12-13,DAL,,
1630230,PRA,,,,2025-12-13,DAL,,
1630241,PTS,,,,2025-12-13,CLE,,
1630241,REB,,,,2025-12-13,CLE,,
1630241,AST,,,,2025-12-13,CLE,,
1630241,FG3M,,,,2025-12-13,CLE,,
1630241,PRA,,,,2025-12-13,CLE,,
1630245,PTS,,,,2025-12-13,CHI,,
1630245,REB,,,,2025-12-13,CHI,,
1630245,AST,,,,2025-12-13,CHI,,
1630245,FG3M,,,,2025-12-13,CHI,,
1630245,PRA,,,,2025-12-13,CHI,,
1630529,PTS,,,,2025-12-13,NOP,,
1630529,REB,,,,2025-12-13,NOP,,
1630529,AST,,,,2025-12-13,NOP,,
1630529,FG3M,,,,2025-12-13,NOP,,
1630529,PRA,,,,2025-12-13,NOP,,
1630530,PTS,,,,2025-12-13,NOP,,
1630530,REB,,,,2025-12-13,NOP,,
1630530,AST,,,,2025-12-13,NOP,,
1630530,FG3M,,,,2025-12-13,NOP,,
1630530,PRA,,,,2025-12-13,NOP,,
1630532,PTS,,,,2025-12-13,ORL,,
1630532,REB,,,,2025-12-13,ORL,,
1630532,AST,,,,2025-12-13,ORL,,
1630532,FG3M,,,,2025-12-13,ORL,,
1630532,PRA,,,,2025-12-13,ORL,,
1630540,PTS,,,,2025-12-13,NYK,,
1630540,REB,,,,2025-12-13,NYK,,
1630540,AST,,,,2025-12-13,NYK,,
1630540,FG3M,,,,2025-12-13,NYK,,
1630540,PRA,,,,2025-12-13,NYK,,
1630552,PTS,,,,2025-12-13,ATL,,
1630552,REB,,,,2025-12-13,ATL,,
1630552,AST,,,,2025-12-13,ATL,,
1630552,FG3M,,,,2025-12-13,ATL,,
1630552,PRA,,,,2025-12-13,ATL,,
1630558,PTS,,,,2025-12-13,MIA,,
1630558,REB,,,,2025-12-13,MIA,,
1630558,AST,,,,2025-12-13,MIA,,
1630558,FG3M,,,,2025-12-13,MIA,,
1630558,PRA,,,,2025-12-13,MIA,,
1630559,PTS,,,,2025-12-13,LAL,,
1630559,REB,,,,2025-12-13,LAL,,
1630559,AST,,,,2025-12-13,LAL,,
1630559,FG3M,,,,2025-12-13,LAL,,
1630559,PRA,,,,2025-12-13,LAL,,
1630560,PTS,,,,2025-12-13,BKN,,
